leds[0][0].brightness, 0x00,
leds[0][0].vx, 0x00000000,
leds[0][0].vy, 0x00000000,
leds[0][0].rx, 0x00000000,
leds[0][0].ry, 0x00000000,
leds[0][1].brightness, 0x00,
leds[0][1].vx, 0x00000000,
leds[0][1].vy, 0x00000000,
leds[0][1].rx, 0x00000000,
leds[0][1].ry, 0x00000000,
leds[0][2].brightness, 0x00,
leds[0][2].vx, 0x00000000,
leds[0][2].vy, 0x00000000,
leds[0][2].rx, 0x00000000,
leds[0][2].ry, 0x00000000,
leds[0][3].brightness, 0x00,
leds[0][3].vx, 0x00000000,
leds[0][3].vy, 0x00000000,
leds[0][3].rx, 0x00000000,
leds[0][3].ry, 0x00000000,
leds[0][4].brightness, 0x00,
leds[0][4].vx, 0x00000000,
leds[0][4].vy, 0x00000000,
leds[0][4].rx, 0x00000000,
leds[0][4].ry, 0x00000000,
leds[0][5].brightness, 0x00,
leds[0][5].vx, 0x00000000,
leds[0][5].vy, 0x00000000,
leds[0][5].rx, 0x00000000,
leds[0][5].ry, 0x00000000,
leds[0][6].brightness, 0x00,
leds[0][6].vx, 0x00000000,
leds[0][6].vy, 0x00000000,
leds[0][6].rx, 0x00000000,
leds[0][6].ry, 0x00000000,
leds[0][7].brightness, 0x00,
leds[0][7].vx, 0x00000000,
leds[0][7].vy, 0x00000000,
leds[0][7].rx, 0x00000000,
leds[0][7].ry, 0x00000000,
leds[0][8].brightness, 0x28,
leds[0][8].vx, 0x00000000,
leds[0][8].vy, 0x00000000,
leds[0][8].rx, 0x00000000,
leds[0][8].ry, 0x00000000,
leds[0][9].brightness, 0x00,
leds[0][9].vx, 0x00000000,
leds[0][9].vy, 0x00000000,
leds[0][9].rx, 0x00000000,
leds[0][9].ry, 0x00000000,
leds[0][10].brightness, 0x00,
leds[0][10].vx, 0x00000000,
leds[0][10].vy, 0x00000000,
leds[0][10].rx, 0x00000000,
leds[0][10].ry, 0x00000000,
leds[0][11].brightness, 0x00,
leds[0][11].vx, 0x00000000,
leds[0][11].vy, 0x00000000,
leds[0][11].rx, 0x00000000,
leds[0][11].ry, 0x00000000,
leds[0][12].brightness, 0x00,
leds[0][12].vx, 0x00000000,
leds[0][12].vy, 0x00000000,
leds[0][12].rx, 0x00000000,
leds[0][12].ry, 0x00000000,
leds[0][13].brightness, 0x00,
leds[0][13].vx, 0x00000000,
leds[0][13].vy, 0x00000000,
leds[0][13].rx, 0x00000000,
leds[0][13].ry, 0x00000000,
leds[0][14].brightness, 0x00,
leds[0][14].vx, 0x00000000,
leds[0][14].vy, 0x00000000,
leds[0][14].rx, 0x00000000,
leds[0][14].ry, 0x00000000,
leds[0][15].brightness, 0x00,
leds[0][15].vx, 0x00000000,
leds[0][15].vy, 0x00000000,
leds[0][15].rx, 0x00000000,
leds[0][15].ry, 0x00000000,
leds[1][0].brightness, 0x00,
leds[1][0].vx, 0x00000000,
leds[1][0].vy, 0x00000000,
leds[1][0].rx, 0x00000000,
leds[1][0].ry, 0x00000000,
leds[1][1].brightness, 0x00,
leds[1][1].vx, 0x00000000,
leds[1][1].vy, 0x00000000,
leds[1][1].rx, 0x00000000,
leds[1][1].ry, 0x00000000,
leds[1][2].brightness, 0x00,
leds[1][2].vx, 0x00000000,
leds[1][2].vy, 0x00000000,
leds[1][2].rx, 0x00000000,
leds[1][2].ry, 0x00000000,
leds[1][3].brightness, 0x00,
leds[1][3].vx, 0x00000000,
leds[1][3].vy, 0x00000000,
leds[1][3].rx, 0x00000000,
leds[1][3].ry, 0x00000000,
leds[1][4].brightness, 0x00,
leds[1][4].vx, 0x00000000,
leds[1][4].vy, 0x00000000,
leds[1][4].rx, 0x00000000,
