transmission_used[0], 0x01,
transmission_used[1], 0x01,
transmission_used[2], 0x01,
transmission_used[3], 0x01,
transmission_used[4], 0x01,
transmission_used[5], 0x01,
transmission_used[6], 0x01,
transmission_used[7], 0x01,
transmission_used[8], 0x01,
transmission_used[9], 0x01,
transmission_used[10], 0x01,
transmission_used[11], 0x01,
transmission_used[12], 0x01,
transmission_used[13], 0x01,
transmission_used[14], 0x01,
transmission_used[15], 0x01,
transmission_used[16], 0x01,
transmission_used[17], 0x01,
transmission_used[18], 0x01,
transmission_used[19], 0x01,
transmission_used[20], 0x00,
transmission_used[21], 0x01,
